username,comment,comment_cleansing,predict_label
@trzchanel5193,"['hukum', 'mati', 'koruptor', 'presiden', 'mundur']",hukum mati koruptor presiden mundur,Negatif
@amaratanjong9055,"['muka', 'kayak', 'garong']",muka kayak garong,Negatif
@ganifirman1014,"['et', 'buset', 'gaji', 'dirut']",et buset gaji dirut,Positif
@makmurbate8607,"['potong', 'tanganx', 'koruptor']",potong tanganx koruptor,Negatif
@adiwijaya4792,"['cepat', 'penjara']",cepat penjara,Positif
@dadangyuda855,"['calon', 'negara', 'gagal', 'bandit', 'lini']",calon negara gagal bandit lini,Negatif
@obertmarluga9730,"['tuh', 'kepala', 'belah', 'pakai', 'kapak']",tuh kepala belah pakai kapak,Negatif
@iwan2443,['maliing'],maliing,Negatif
@AndiSetiawan-qo5dl,"['gen', 'rsanya', 'tombak', 'orang']",gen rsanya tombak orang,Negatif
@mvcompilation3833,"['negara', 'reset', 'ulang']",negara reset ulang,Negatif
@agungwawan2714,"['tolong', 'kuasa', 'negeri', 'hukum', 'mati', 'orang', 'rugi', 'rakyat', 'indonesia']",tolong kuasa negeri hukum mati orang rugi rakyat indonesia,Negatif
@Bintang12286,"['otak', 'konslet']",otak konslet,Negatif
@AndriKurniawan-o2m,"['ketangkep', 'jagung', 'bayar', 'polisi', 'wkwkwk', 'gelap', 'gempita']",ketangkep jagung bayar polisi wkwkwk gelap gempita,Negatif
@bektiwijianata5045,"['aksi', 'teatrikal', 'tuh', 'tangkap', 'kalo', 'enggak ada', 'kamera', 'copot', 'borgol', 'wkwk']",aksi teatrikal tuh tangkap kalo enggak ada kamera copot borgol wkwk,Negatif
@agungpermanaputra4038,"['siram', 'pertamaax', 'langsung', 'bakarr']",siram pertamaax langsung bakarr,Negatif
@suheniwatisugiri3649,"['tak', 'takut', 'tuhan', 'serakah', 'lebih', 'harvey', 'hukum', 'mati', 'jajah', 'rampok', 'negara', 'alias', 'tak', 'nasionalis', 'tak', 'perikemanusiaan', 'terima', 'gaji', 'rakyat', 'ratus', 'juta', 'bulan', 'plus', 'fasilitas', 'mewah']",tak takut tuhan serakah lebih harvey hukum mati jajah rampok negara alias tak nasionalis tak perikemanusiaan terima gaji rakyat ratus juta bulan plus fasilitas mewah,Negatif
@Murdiniducks01,"['hukum', 'mati', 'muak', 'koruprtor']",hukum mati muak koruprtor,Negatif
@LEOOFFICIAL976,"['hukum', 'mati']",hukum mati,Negatif
@ybmchannel22,"['tembak', 'mati']",tembak mati,Negatif
@adiatmaatma2054,"['maling', 'ayam', 'maling', 'pisang', 'gebukin', 'seret', 'atur', 'seret', 'gebugin']",maling ayam maling pisang gebukin seret atur seret gebugin,Negatif
@nuridin2297,"['gantung', 'sangka', 'stadion', 'gbk', 'gantung', 'gebukin']",gantung sangka stadion gbk gantung gebukin,Positif
@edikarsonoek,"['ekspresi', 'salah', 'penjara', 'denda', 'rupiah', 'preketek', 'hukum', 'indonesia']",ekspresi salah penjara denda rupiah preketek hukum indonesia,Negatif
@rusdigunawan6766,"['tim', 'bela', 'lawyer', 'bela', 'kalo', 'nama', 'lawyer', 'coreng', 'biar', 'rskyat', 'hukum']",tim bela lawyer bela kalo nama lawyer coreng biar rskyat hukum,Negatif
@BocahLD,"['kuruptor', 'cerdas', 'penjara', 'selam', 'deh', 't', 'orang', 'aset', 'sita', 'psling', 'enggak', 't', 'mash', 'untung', 't', 'hadeh', 'susah', 'payah', 'cari', 'uang', 'korupsi', 'susah', 'habisin', 'uang']",kuruptor cerdas penjara selam deh t orang aset sita psling enggak t mash untung t hadeh susah payah cari uang korupsi susah habisin uang,Negatif
@BocahLD,"['tuju', 'koruptor', 'hukumn', 'mati', 'hukum', 'umur', 'hidup', 'minimal', 'biar', 'nikmat', 'hasil', 'korupsi', 'coba', 'angkat', 'tangan']",tuju koruptor hukumn mati hukum umur hidup minimal biar nikmat hasil korupsi coba angkat tangan,Positif
@MECCIY48CIMCAY84,"['hukum', 'an', 'mati', 'woyyuu']",hukum an mati woyyuu,Negatif
@pasukanhitam5185,"['jabat', 'korupsi', 'laku', 'jabat', 'indonesia', 'kerja', 'korupsi']",jabat korupsi laku jabat indonesia kerja korupsi,Positif
@jscreativetv6658,"['orang', 'tamak', 'serakah']",orang tamak serakah,Negatif
@SupriYati-j1m,"['lempar', 'no', 'nusa', 'kambang']",lempar no nusa kambang,Negatif
@Pl883,"['moga', 'jabat', 'korup', 'azab', 'allah', 'perut', 'buncit', 'kena', 'sakit', 'susah', 'sembuh', 'anak', 'enggak', 'bahagia', 'dunia', 'akhirat', 'celaka']",moga jabat korup azab allah perut buncit kena sakit susah sembuh anak enggak bahagia dunia akhirat celaka,Negatif
@muhamadrifai3095,"['gaji', 'gede', 'loh']",gaji gede loh,Negatif
@muhamadrifai3095,"['incer', 'perintah', 'usaha', 'korupsi', 'guede', 'perintah', 'guede']",incer perintah usaha korupsi guede perintah guede,Negatif
@AsrilAsril-k8t,"['loh', 'muda', 'koroptor', 'koropsi', 'pertamina', 'rusak', 'negara', 'rakyat']",loh muda koroptor koropsi pertamina rusak negara rakyat,Negatif
@andrenababan3403,"['masyarakat', 'tuduh', 'curang', 'perintah', 'biang', 'kerok']",masyarakat tuduh curang perintah biang kerok,Negatif
@temmylesmana7318,['koruptor'],koruptor,Negatif
@NukilGeger,"['sampah', 'masyarakat']",sampah masyarakat,Negatif
@idung1338,"['bbm', 'subsidi', 'kurang', 'kasih', 'sempat', 'koruptor']",bbm subsidi kurang kasih sempat koruptor,Negatif
@BecakRacing-o8r,"['hukum', 'mati', 'koruptor', 'mimpi']",hukum mati koruptor mimpi,Negatif
@sudiyosudiyo6445,"['beli', 'tamak', 'enggak', 'rela']",beli tamak enggak rela,Negatif
@HeriHerlambang-jy3nu,"['indonesiaakan', 'bangkrut', 'kkn']",indonesiaakan bangkrut kkn,Negatif
@sudiyosudiyo6445,"['orang', 'bawa', 'korut', 'biar', 'makan', 'buaya']",orang bawa korut biar makan buaya,Negatif
@jojobotak,"['hukum', 'pancung', 'koruptor']",hukum pancung koruptor,Negatif
@SugiyantoSugiyanto-n1p,"['tembak', 'mati', 'beress']",tembak mati beress,Negatif
@SaidEfemberg,"['rugi', 'rakyat', 'kah', 'perhati', 'perintah', 'omong', 'perintah', 'rugi', 'negara', 'hidup', 'salah', 'pajak', 'dati', 'rakyat', 'jelata']",rugi rakyat kah perhati perintah omong perintah rugi negara hidup salah pajak dati rakyat jelata,Negatif
@masgunawan6459,['hukum'],hukum,Negatif
@wahyudin-v2c,"['hukum', 'gantung', 'booss', 'biar', 'maknyos', 'lihat']",hukum gantung booss biar maknyos lihat,Negatif
@dimawahyudiono4827,"['kalo', 'china', 'selamat', 'tinggal', 'leher']",kalo china selamat tinggal leher,Positif
@adeprim,"['hukum', 'mati']",hukum mati,Negatif
@JalanBaru-y3x,"['hukum', 'berat', 'koruptor']",hukum berat koruptor,Negatif
@PapuaFolkSong,"['korupsi', 'darurat', 'indonesia', 'kalo', 'hukum', 'potong', 'tangan', 'potong', 'leher', 'laku', 'korupsi', 'entar', 'masuk', 'tahan', 'bayar', 'tugas', 'kasih', 'fasilitas', 'mewah', 'tahan', 'bebas', 'leha']",korupsi darurat indonesia kalo hukum potong tangan potong leher laku korupsi entar masuk tahan bayar tugas kasih fasilitas mewah tahan bebas leha,Negatif
@bachtiarmahyudin,"['enggak', 'puas', 'tipu', 'rakyat', 'hukum', 'mati', 'cocok', 'koruptor']",enggak puas tipu rakyat hukum mati cocok koruptor,Negatif
@Funfuck_video,"['gantung', 'koruptor']",gantung koruptor,Negatif
@Kang_ipung,"['gas', 'lpg', 'skalian', 'sidak']",gas lpg skalian sidak,Negatif
@Yoyo-jt7ph,"['makan', 'tuh', 'ahok', 'komisaris', 'enggak', 'becus', 'puja', 'ahok']",makan tuh ahok komisaris enggak becus puja ahok,Negatif
@intanlaurenz9160,"['garong', 'kabeh']",garong kabeh,Negatif
@nayurendavidibadsabara3065,"['korupsi', 'pertamina', 'insntansi', 'lai', 'hitung', 'tahu', 'zaman', 'korupsi', 'rajalela', 'untuk', 'pimpin', 'jabat', 'kuasa', 'yuk', 'prabowo', 'berantas', 'tikus', 'rusak', 'hidup', 'rakyat', 'kasihan', 'rakyat', 'miskin', 'sengsara', 'beli', 'beras', 'liter', 'banting', 'tulang', 'mangkanya', 'salah', 'rakyat', 'tega', 'curi', 'kecil', 'perut', 'anak', 'istri', 'bingung', 'yuk', 'a', 'rakyat', 'sulit', 'suap', 'nasi', 'moga', 'negeri', 'makmur', 'pangan', 'sandang', 'papan', 'amin', 'zaman', 'suharto', 'serba', 'murah', 'sembako', 'bbm', 'jahat']",korupsi pertamina insntansi lai hitung tahu zaman korupsi rajalela untuk pimpin jabat kuasa yuk prabowo berantas tikus rusak hidup rakyat kasihan rakyat miskin sengsara beli beras liter banting tulang mangkanya salah rakyat tega curi kecil perut anak istri bingung yuk a rakyat sulit suap nasi moga negeri makmur pangan sandang papan amin zaman suharto serba murah sembako bbm jahat,Positif
@ibnujauzi9164,['anjir'],anjir,Negatif
@hamdanidani3640,"['undang', 'perintah', 'korupsi', 'hukum', 'mati']",undang perintah korupsi hukum mati,Negatif
@bennycmbpunya4492,"['tinggal', 'ahok']",tinggal ahok,Negatif
@Anonymous-yi7lz,['oplosaann'],oplosaann,Negatif
@kevwestern2364,"['hukum', 'mati', 'bega', 'lihat', 'koruptor', 'merazalela']",hukum mati bega lihat koruptor merazalela,Negatif
@alvstar99,"['stop', 'korupsi', 'uud', 'rampas', 'aset', 'sahkan', 'kah']",stop korupsi uud rampas aset sahkan kah,Negatif
@PraYoga-t1j,"['kaya', 'raya', 'ndk', 'pnjara']",kaya raya ndk pnjara,Negatif
@kurniayuniati4100,"['biar', 'korps', 'deh', 'enggak', 'aneh', 'laku', 'urat', 'malu', 'putus', 'sekang', 'main', 'gede', 'dana', 'korupsi', 'negara', 'aaminin']",biar korps deh enggak aneh laku urat malu putus sekang main gede dana korupsi negara aaminin,Negatif
@dandisyaputra-v6s2g,"['indonesia', 'hancur', 'cari', 'negara', 'hidup']",indonesia hancur cari negara hidup,Positif
@AuraKusuma,"['hebat', 'prabowo', 'intelijen', 'mantaaff', 'periode', 'bersih', 'periode', 'indonesia', 'sejahtera']",hebat prabowo intelijen mantaaff periode bersih periode indonesia sejahtera,Positif
@Nekomamushi-m7t,"['sopan', 'laku', 'binatang']",sopan laku binatang,Negatif
@duniawisatajogja5758,"['brengsek', 'gaya', 'atur', 'pakai', 'barcode', 'tahi']",brengsek gaya atur pakai barcode tahi,Positif
@duniawisatajogja5758,"['busuk', 'perut']",busuk perut,Negatif
@Zubw-v9w,"['ayo', 'rezim']",ayo rezim,Positif
@kristianardi5377,"['apresiasi', 'tangkap', 'koruptor', 'imbas', 'masyarakat', 'bbm', 'subsidi', 'kwalitas', 'bbm', 'rugi', 'moga', 'jadi', 'alas', 'rugi', 'pertamina', 'cabut', 'subsidi', 'bbm']",apresiasi tangkap koruptor imbas masyarakat bbm subsidi kwalitas bbm rugi moga jadi alas rugi pertamina cabut subsidi bbm,Positif
@nurmankgp5670,"['pertamina', 'rugi']",pertamina rugi,Negatif
@Zubw-v9w,"['pertamina', 'sapi', 'perah', 'enggak', 'untung', 'peras', 'rakyat', 'harga', 'banding', 'petronas', 'untung', 'bermilyar', 'dolar', 'harga', 'minyak', 'malaya', 'paruh', 'indonesia', 'ayo', 'rakyat', 'sadar']",pertamina sapi perah enggak untung peras rakyat harga banding petronas untung bermilyar dolar harga minyak malaya paruh indonesia ayo rakyat sadar,Positif
@umbrella8910,"['kayak', 'bersih', 'pintar', 'jabat', 'bawah', 'sumpah', 'korup', 'arti', 'munafik']",kayak bersih pintar jabat bawah sumpah korup arti munafik,Negatif
@rashikaramine9134,"['pindah', 'shell', 'vivo', 'bp', 'biar', 'pertamina', 'bangkrut']",pindah shell vivo bp biar pertamina bangkrut,Negatif
@wenming1990,"['enggak', 'demo', 'korupsi', 'ayo', 'demo', 'hukum', 'mati']",enggak demo korupsi ayo demo hukum mati,Negatif
@wenming1990,"['cacad', 'bobrok', 'negeri', 'korupsi', 'aspek']",cacad bobrok negeri korupsi aspek,Negatif
@fachriazhar8339,"['ecek', 'korup', 'rezim', 'jokodok']",ecek korup rezim jokodok,Negatif
@AI-mg6jb,"['miskin', 'masuk', 'penjara', 'tipu', 'rampok']",miskin masuk penjara tipu rampok,Negatif
@AI-mg6jb,"['team', 'pertamina', 'tau', 'kalo', 'oplos', 'pertamina', 'tipu', 'rampok', 'rakyat', 'indonesia', 'jaman', 'orba', 'kalo', 'ngisi', 'bensin', 'jujur', 'alias', 'oplos', 'vivo', 'shell', 'bp']",team pertamina tau kalo oplos pertamina tipu rampok rakyat indonesia jaman orba kalo ngisi bensin jujur alias oplos vivo shell bp,Negatif
@henryindriantohwi6066,"['tolong', 'naturalisasi', 'direksi', 'pertamina', 'jajar', 'direksi', 'akamsi', 'amanah']",tolong naturalisasi direksi pertamina jajar direksi akamsi amanah,Positif
@ganzgear6667,"['koruptor', 'sopan', 'lepas', 'hakim']",koruptor sopan lepas hakim,Negatif
@liamasliah9248,"['gaji', 'deh', 'fasiitas', 'rumah', 'listrik', 'pdam', 'gratis', 'rumah', 'sakit', 'obat', 'gratis', 'pergi', 'cuti', 'duit', 'bonus', 'thr', 'gaji', 'korupsi']",gaji deh fasiitas rumah listrik pdam gratis rumah sakit obat gratis pergi cuti duit bonus thr gaji korupsi,Positif
@wiyati1970,"['astagfirullah', 'hal', 'adzim']",astagfirullah hal adzim,Negatif
@ervanwahyudi6120,"['hukum', 'mati', 'pokok', 'hukum', 'mati']",hukum mati pokok hukum mati,Negatif
@bachtiaroffset3846,"['gerombol', 'iblis', 'bentuk', 'manusia']",gerombol iblis bentuk manusia,Negatif
@nabiilahbudikusuma7932,"['jahat', 'bangwt']",jahat bangwt,Negatif
@ganzgear6667,"['triliun', 'sumbang']",triliun sumbang,Negatif
@digiwar-gh5mo,"['maling', 'enggak', 'bbm', 'subsidi', 'jadi', 'pertamax', 'biar', 'cuann']",maling enggak bbm subsidi jadi pertamax biar cuann,Negatif
@agusbudiyanto7043,"['enggak', 'korban', 'masyarakat', 'gugat', 'perdata', 'koruptor', 'umtuk', 'bayar', 'ganti', 'rugi', 'sepeda', 'motor', 'rusak']",enggak korban masyarakat gugat perdata koruptor umtuk bayar ganti rugi sepeda motor rusak,Negatif
@170845ism,"['hukum', 'gantung', 'koruptor']",hukum gantung koruptor,Negatif
@gadingpurba3484,"['aparat', 'tegak', 'hukum', 'ducati', 'rubicon', 'hukum', 'putus']",aparat tegak hukum ducati rubicon hukum putus,Negatif
@nurkurnia1547,"['enggak', 'gundul', 'maling', 'sabet', 'selang', 'bonyok', 'dibotakin', 'maling', 'ayam']",enggak gundul maling sabet selang bonyok dibotakin maling ayam,Negatif
@dhodho8461,"['jabat', 'konoha', 'jahat', 'bansos', 'korup', 'skng', 'bbm', 'gila', 'gelap', 'indonesiaahh']",jabat konoha jahat bansos korup skng bbm gila gelap indonesiaahh,Negatif
@stanlypongoh1596,"['hukum', 'mati']",hukum mati,Negatif
@edhengsunarya5758,"['kalo', 'bukti', 'tembak', 'mati']",kalo bukti tembak mati,Negatif
@mr-gy2os,"['nih', 'rampas', 'aset', 'dilolosin', 'duit', 'tahun', 'enggak', 'cium', 'kong', 'kalikong']",nih rampas aset dilolosin duit tahun enggak cium kong kalikong,Negatif
@ArielJalaludin,"['pertamina', 'koar', 'rugi', 'nih', 'bikin', 'rugi', 'bikin', 'rugi', 'usaha', 'bikin', 'rugi', 'masyarakat']",pertamina koar rugi nih bikin rugi bikin rugi usaha bikin rugi masyarakat,Positif
@lutfisururi4642,"['kasih', 'rakyat', 'hukum', 'kesel', 'full', 'beli', 'pertamax', 'pertalite', 'babi']",kasih rakyat hukum kesel full beli pertamax pertalite babi,Positif
@ariwibowo9362,"['rugi', 'negara', 'rugi', 'beli', 'beli']",rugi negara rugi beli beli,Positif
@MasBoy-t8d,"['petronas', 'terbaeklah']",petronas terbaeklah,Negatif
@Wira_1-w9u,"['sakit', 'antri', 'shell']",sakit antri shell,Negatif
@jokoprihandono7026,"['direktur', 'buser']",direktur buser,Negatif
@DiscRedArmy,"['tuh', 'suka', 'blusukan', 'sawah', 'ujung', 'import', 'padi', 'tangkap']",tuh suka blusukan sawah ujung import padi tangkap,Negatif
@allhero4747,['hewan'],hewan,Negatif
@raradeviaapria,"['hukum', 'mati', 'koruptor']",hukum mati koruptor,Negatif
@pilox9346,"['pln', 'periksa', 'daerah', 'tipu']",pln periksa daerah tipu,Negatif
@arisforeplay3866,"['hukum', 'mati', 'korupsi', 'rugi', 'negara', 'sengsesarakan', 'rakyat']",hukum mati korupsi rugi negara sengsesarakan rakyat,Negatif
@online-no4bp,"['ngeri', 'darah', 'daging', 'kayak', 'bias', 'korupsi']",ngeri darah daging kayak bias korupsi,Negatif
@rizazuf,"['kalo', 'pertamina', 'jual', 'oplos', 'jual', 'mana']",kalo pertamina jual oplos jual mana,Negatif
@perigiresidence5528,"['petral', 'hilang', 'sub', 'holding', 'beermain', 'inti', 'main']",petral hilang sub holding beermain inti main,Negatif
@offi10malalek,"['bangga', 'pmi', 'makan', 'hasil', 'keringat']",bangga pmi makan hasil keringat,Positif
@lsatia_a,"['ku', 'rugi', 'rakyat', 'beli', 'pertamax', 'oplos', 'rakyat']",ku rugi rakyat beli pertamax oplos rakyat,Positif
@user-vr8ql,['periode'],periode,Netral
@KRTIKTAJAM,"['negeri', 'bantai', 'korptor', 'kruptor', 'hukum', 'sekjam', 'kejam']",negeri bantai korptor kruptor hukum sekjam kejam,Negatif
@AdinDinadin-tq4zr,"['hukum', 'gantung', 'orang', 'tolong', 'pm', 'wowo', 'rkyt', 'deh', 'jelh']",hukum gantung orang tolong pm wowo rkyt deh jelh,Negatif
@ziezie1064,"['korupsi', 'korupsi', 'urat', 'malu', 'hilang']",korupsi korupsi urat malu hilang,Negatif
@reynaldikurniawan2751,"['moga', 'hukum', 'gantung']",moga hukum gantung,Negatif
@abhawaja9325,"['tangkap', 'muka', 'berita', 'sepi', 'enak', 'an']",tangkap muka berita sepi enak an,Positif
@Sri83-o2w,"['enggak', 'berani', 'kalo', 'perintah', 'jabat']",enggak berani kalo perintah jabat,Negatif
@alicecapone2167,"['orang', 'heboh', 'riza', 'chalid', 'nyinyir', 'wakapolri', 'setir', 'pesta', 'kawin', 'anak', 'dibayarin', 'chalid', 'enggak', 'ngangkat', 'memviralkan', 'polri', 'kpk', 'tau', 'mata', 'tutup', 'uang']",orang heboh riza chalid nyinyir wakapolri setir pesta kawin anak dibayarin chalid enggak ngangkat memviralkan polri kpk tau mata tutup uang,Positif
@aldiyuchannel4448,"['tahu', 'aman']",tahu aman,Positif
@alven77,"['hukum', 'mati', 'enggak', 'tawar', 'tawar', 'pokok', 'efek', 'indonesia', 'rasai', 'negeri', 'rusak', 'rusak', 'rusak']",hukum mati enggak tawar tawar pokok efek indonesia rasai negeri rusak rusak rusak,Negatif
@dewadimpil7405,"['inisial', 'langsung', 'nama']",inisial langsung nama,Positif
@shokiahmad7993,"['sistem', 'kpr', 'bank', 'btn', 'selidik', 'tuh', 'koruptor', 'rugi', 'nasabah', 'sistem', 'restrukturisasi', 'rugi', 'masyarakat', 'bunga', 'tangguh', 'transparan']",sistem kpr bank btn selidik tuh koruptor rugi nasabah sistem restrukturisasi rugi masyarakat bunga tangguh transparan,Positif
@Jo.Budeck,"['sangka', 'adem', 'ayem', 'entar', 'kayak', 'korupsi', 'timah', 'hakim', 'hukum', 'ringan']",sangka adem ayem entar kayak korupsi timah hakim hukum ringan,Negatif
@mangdhani3457,"['edaan', 'otak', 'nepi', 'kak', 'kieu', 'keur', 'rakyat', 'sorang', 'tega', 'pis', 'iyeu', 'jelma']",edaan otak nepi kak kieu keur rakyat sorang tega pis iyeu jelma,Negatif
@mangdhani3457,"['hukum', 'mati']",hukum mati,Negatif
@BouWili,"['tembak', 'mati', 'koruptor', 'kaya']",tembak mati koruptor kaya,Negatif
@rosyidrosyid9495,"['korupsi', 'guede', 'tegak', 'hukum', 'main', 'hukum', 'ringan', 'motivasi', 'duit', 'hancur', 'negeri', 'buanyak', 'korupsi', 'tangan', 'tegak', 'hukum', 'berantas', 'efek', 'jera', 'tegak', 'hukum', 'koruptor', 'koruptor', 'hukum', 'ringan', 'maling', 'tangan', 'maling', 'maling', 'luas', 'negeri', 'maling', 'enggak', 'muak', 'muak', 'maling', 'kilah', 'rakyat', 'stres', 'negeri', 'isi', 'maling']",korupsi guede tegak hukum main hukum ringan motivasi duit hancur negeri buanyak korupsi tangan tegak hukum berantas efek jera tegak hukum koruptor koruptor hukum ringan maling tangan maling maling luas negeri maling enggak muak muak maling kilah rakyat stres negeri isi maling,Negatif
@AiRohayati-fo8sm,"['aduh', 'matiin', 'tuh', 'korupsi']",aduh matiin tuh korupsi,Negatif
@bacotron9391,"['wanjing', 'tikuss', 'geram', 'wajib', 'miskin', 'turun']",wanjing tikuss geram wajib miskin turun,Negatif
@masharansori1631,"['koruptor', 'hukum', 'mati', 'sedih', 'hilang']",koruptor hukum mati sedih hilang,Negatif
@daudrompa8274,"['usut', 'hukum', 'mati', 'khianat', 'bangsa', 'goblok', 'minyak', 'mentah', 'negeri', 'pergi', 'beli']",usut hukum mati khianat bangsa goblok minyak mentah negeri pergi beli,Negatif
@andhikaandhika9894,"['hancur', 'indonesia', 'enggak', 'tegas']",hancur indonesia enggak tegas,Negatif
@rosyidrosyid9495,"['negeri', 'niat', 'niat', 'berantas', 'korupsi', 'lembaga', 'berantas', 'korupsi', 'korupsi', 'tangan', 'korupsi', 'korupsi', 'jalan', 'beda']",negeri niat niat berantas korupsi lembaga berantas korupsi korupsi tangan korupsi korupsi jalan beda,Positif
@TotoGatotr,"['rakus', 'orang', 'petinggi', 'pertamina', 'gaji', 'besar', 'korupsi']",rakus orang petinggi pertamina gaji besar korupsi,Negatif
@bakoldolanan3834,"['salah', 'dpr', 'tak', 'bikin', 'uu', 'hukum', 'mati', 'tikus', 'dasi', 'kursi', 'dpr', 'tikus', 'duduk', 'santai']",salah dpr tak bikin uu hukum mati tikus dasi kursi dpr tikus duduk santai,Negatif
@daudrompa8274,"['jabat', 'pertamina', 'belah', 'kroni', 'seragam', 'rompi', 'koruptor', 'senyum', 'bela', 'rompi', 'pakai', 'pakai', 'pahlawan', 'jahat']",jabat pertamina belah kroni seragam rompi koruptor senyum bela rompi pakai pakai pahlawan jahat,Positif
@mrobi7205,"['hukum', 'mati']",hukum mati,Negatif
@werfamily3306,"['tombol', 'sia', 'sangka', 'suruh', 'minum', 'bensin', 'oplos']",tombol sia sangka suruh minum bensin oplos,Negatif
@equelibriumqa7173,"['kalo', 'anggota', 'dpr', 'carmuk', 'tulus', 'media', 'marah', 'bela', 'rakyat', 'kalo', 'korupsi', 'lihat', 'anggota', 'dpr', 'marah', 'mensahkan', 'uu', 'rampas', 'aset']",kalo anggota dpr carmuk tulus media marah bela rakyat kalo korupsi lihat anggota dpr marah sah uu rampas aset,Negatif
@ID99-Xyz,"['akwkwkwkw', 'tipu', 'pertamax', 'pertalite', 'enggak', 'antri']",akwkwkwkw tipu pertamax pertalite enggak antri,Negatif
@giogoak7927,"['orang', 'serakah', 'hukum', 'mati']",orang serakah hukum mati,Negatif
@hanysumasa5973,"['rakyat', 'beli', 'pertamax', 'rugi', 'beli', 'pertalite', 'oplos', 'pertamax', 'tipu', 'rakyat']",rakyat beli pertamax rugi beli pertalite oplos pertamax tipu rakyat,Positif
@heritato7853,"['hukum', 'penjara', 'kaya', 'nikmat', 'anak', 'cucu', 'aparat', 'tangan', 'ikut', 'nikmat', 'ratus', 't', 'brow', 'enggak', 'giur']",hukum penjara kaya nikmat anak cucu aparat tangan ikut nikmat ratus t brow enggak giur,Positif
@putra7964,"['sakit', 'warga', 'negara', 'indonesia', 'negara', 'kayak', 'gelintir', 'nikmat', 'dengar', 'pertamina', 'rugi', 'pln', 'rugi', 'pam', 'rugi', 'bumn', 'tahu', 'korupsi', 'indonesia', 'gotong', 'royong', 'hukum', 'mempan', 'aparat', 'hukum', 'koalisi', 'ngeri', 'negeri']",sakit warga negara indonesia negara kayak gelintir nikmat dengar pertamina rugi pln rugi pam rugi bumn tahu korupsi indonesia gotong royong hukum mempan aparat hukum koalisi ngeri negeri,Positif
@UmiLina-el3rd,"['hukum', 'mati', 'koruptor', 'efek', 'jera']",hukum mati koruptor efek jera,Negatif
@bagoeshyta,"['biangkerok', 'carut', 'marut', 'minyak', 'indonesia', 'hancur', 'orang']",biangkerok carut marut minyak indonesia hancur orang,Negatif
@nurcholis7824,"['muka', 'enggak', 'kayak', 'maling', 'ayam']",muka enggak kayak maling ayam,Negatif
@Tarsanx007,"['inspirasi', 't', 'lomba', 'lomba', 'cetak', 'rekor']",inspirasi t lomba lomba cetak rekor,Positif
@suandasufi5340,"['nih', 'dirut', 'hebat', 'alias', 'ahok', 'anak', 'buah', 'korupsi', 'jamaah', 'ente', 'enggak', 'tau']",nih dirut hebat alias ahok anak buah korupsi jamaah ente enggak tau,Negatif
@dickykurniawe2695,"['lepas', 'masker', 'musim', 'pandemi']",lepas masker musim pandemi,Negatif
@suandasufi5340,"['bos', 'pertamina', 'oplos', 'minyak', 't', 'korupsi', 'direktur', 'pertamina', 'ahok']",bos pertamina oplos minyak t korupsi direktur pertamina ahok,Negatif
@suandasufi5340,"['urus', 'bumn', 'main', 'bola']",urus bumn main bola,Positif
@tubagussafari,"['pakai', 'masker', 'enggak', 'covid']",pakai masker enggak covid,Negatif
@mamunmamun4695,"['orang', 'beli', 'bbm', 'pom', 'bhan', 'bakar', 'enggak', 'ngutang', 'naahh', 'jls', 'cunguk', 'tanggung', 'pimpin', 'negara', 'kalo', 'pimpin', 'elementnya', 'moga', 'pimpin', 'bijak', 'tinggal', 'pln']",orang beli bbm pom bhan bakar enggak ngutang naahh jls cunguk tanggung pimpin negara kalo pimpin elementnya moga pimpin bijak tinggal pln,Positif
@MahfiGaming,"['hukum', 'mati']",hukum mati,Negatif
@Benshafran,"['mari', 'lihat', 'besar', 'drama', 'prabowo', 'rakyat', 'awas', 'janji', 'jaksa', 'agung', 'janji', 'magelang', 'acara', 'retreat', 'kepala', 'darrah', 'korupsi', 'sikat', 'omon', 'negara', 'indonesia', 'gelap', 'berantas', 'korupsi']",mari lihat besar drama prabowo rakyat awas janji jaksa agung janji magelang acara retreat kepala darrah korupsi sikat omon negara indonesia gelap berantas korupsi,Positif
@abgtua3155,"['ahok', 'nih']",ahok nih,Negatif
@mirdanrifky1609,"['dor', 'langsung']",dor langsung,Positif
@mariminjau791,"['hukum', 'mati', 'koruptor']",hukum mati koruptor,Negatif
@fajar90s,"['negara', 'indonesia', 'kayak', 'rakyat', 'miskin', 'kalo', 'orang', 'korupsi', 'enggak', 'hukum', 'mati', 'lihat', 'china', 'tangan', 'orang', 'korupsi', 'tukang', 'es', 'cendol', 'dicihampelas', 'kalo', 'korupsi', 'rakyat', 'sengsara']",negara indonesia kayak rakyat miskin kalo orang korupsi enggak hukum mati lihat china tangan orang korupsi tukang es cendol dicihampelas kalo korupsi rakyat sengsara,Negatif
@komentatorulung4431,['hukumanya'],hukumanya,Negatif
@hendragedo5157,"['selamat', 'tambah', 'sangka', 'korupsi', 'indonesia', 'jaya', 'koruptor', 'indonesia', 'jaya']",selamat tambah sangka korupsi indonesia jaya koruptor indonesia jaya,Positif
@abcdabcd-os2pv,"['kawal', 'hukum', 'berat']",kawal hukum berat,Negatif
